Question;Réponse;Sujet
Quel est le résultat de 45 ÷ 5 + 3 ?;12;Mathématiques
Quelle est la valeur de 2³ ?;8;Mathématiques
Combien font 15² ?;225;Mathématiques
Quelle est la racine carrée de 121 ?;11;Mathématiques
Si un rectangle mesure 10 cm de largeur et 20 cm de longueur, quelle est son aire ?;200 cm²;Mathématiques
Qui a inventé l'imprimerie en Europe ?;Gutenberg;Histoire
Quel traité a mis fin à la Première Guerre mondiale ?;Le traité de Versailles;Histoire
Quel roi a fait construire le château de Versailles ?;Louis XIV;Histoire
Qui a mené les troupes françaises à la victoire à Orléans en 1429 ?;Jeanne d'Arc;Histoire
Quel est le nom du mur construit à Berlin en 1961 ?;Le mur de Berlin;Histoire
Quel est le deuxième plus grand fleuve du monde après l'Amazone ?;Le Nil;Géographie
Quel pays est traversé par le fleuve Yangzi Jiang ?;La Chine;Géographie
Quelle chaîne de montagnes traverse le Népal et le Tibet ?;L'Himalaya;Géographie
Quel pays d'Amérique du Sud a pour capitale Buenos Aires ?;L'Argentine;Géographie
Quel est le plus grand lac d'eau douce au monde ?;Le lac Baïkal;Géographie
Quel est le nom de la galaxie dans laquelle nous vivons ?;La Voie lactée;Sciences
Quelle est la couche externe de la Terre appelée ?;La croûte terrestre;Sciences
Quel est le principal gaz composant l'atmosphère terrestre ?;L'azote;Sciences
Quelle est la formule chimique du dioxyde de carbone ?;CO2;Sciences
Quel est le processus par lequel les plantes fabriquent leur nourriture ?;La photosynthèse;Sciences
Combien font 7 × (4 + 6) ?;70;Mathématiques
Quelle est la valeur de π (Pi) arrondie à trois décimales ?;3.142;Mathématiques
Combien font 144 ÷ 12 ?;12;Mathématiques
Si un cercle a un diamètre de 10 cm, quel est son rayon ?;5 cm;Mathématiques
Quel est le périmètre d'un carré dont un côté mesure 8 cm ?;32 cm;Mathématiques
Qui était le chef de l'Allemagne pendant la Seconde Guerre mondiale ?;Adolf Hitler;Histoire
Quel était le nom de l'empire qui contrôlait la Russie avant 1917 ?;L'Empire russe;Histoire
Quelle bataille a marqué la défaite de Napoléon ?;La bataille de Waterloo;Histoire
Qui a déclaré \"Je suis l'État\" ?;Louis XIV;Histoire
Quel événement historique s'est déroulé en 1789 en France ?;La Révolution française;Histoire
Quel désert est le plus sec au monde ?;Le désert d'Atacama;Géographie
Quelle mer borde l'Arabie Saoudite à l'ouest ?;La mer Rouge;Géographie
Quel est le point culminant de l'Europe ?;Le mont Elbrouz;Géographie
Quel fleuve traverse Paris ?;La Seine;Géographie
Quelle région française est célèbre pour ses châteaux de la Renaissance ?;La vallée de la Loire;Géographie
Comment appelle-t-on l'étude des tremblements de terre ?;La sismologie;Sciences
Quel est l'élément chimique représenté par \"Au\" ?;L'or;Sciences
Quel organe du corps humain est responsable de la filtration du sang ?;Les reins;Sciences
Quel est l'état de la matière du dioxyde de carbone à température ambiante ?;Gaz;Sciences
Quel phénomène est responsable des éclairs pendant un orage ?;Les décharges électriques;Sciences
